instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s03_cov050_seed00000011_bw025,6,3,0.5,0.25,200,1,105,95,0.475,1.0,0.525
c06_s03_cov050_seed00000011_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000011_bw025,6,3,0.5,0.25,1000,1,484,516,0.516,1.0,0.484
c06_s03_cov050_seed00000011_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000013_bw025,6,3,0.5,0.25,200,1,113,87,0.435,1.0,0.565
c06_s03_cov050_seed00000013_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000013_bw025,6,3,0.5,0.25,1000,1,511,489,0.489,1.0,0.511
c06_s03_cov050_seed00000013_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000014_bw025,6,3,0.5,0.25,200,1,96,104,0.52,1.0,0.48
c06_s03_cov050_seed00000014_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000014_bw025,6,3,0.5,0.25,1000,1,520,480,0.48,1.0,0.52
c06_s03_cov050_seed00000014_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000015_bw025,6,3,0.5,0.25,200,1,99,101,0.505,1.0,0.495
c06_s03_cov050_seed00000015_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000015_bw025,6,3,0.5,0.25,1000,1,520,480,0.48,1.0,0.52
c06_s03_cov050_seed00000015_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000021_bw025,6,3,0.5,0.25,200,1,112,88,0.44,1.0,0.56
c06_s03_cov050_seed00000021_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000021_bw025,6,3,0.5,0.25,1000,1,506,494,0.494,1.0,0.506
c06_s03_cov050_seed00000021_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,200,1,165,35,0.175,1.0,0.825
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,200,2,96,104,0.52,0.65625,0.315
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,200,3,49,151,0.755,0.0,0.0
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,1000,1,763,237,0.237,1.0,0.763
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,1000,2,499,501,0.501,0.6533066132264529,0.326
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,1000,3,253,747,0.747,0.0,0.0
c06_s03_cov050_seed00000022_bw025,6,3,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s03_cov050_seed00000024_bw025,6,3,0.5,0.25,200,1,100,100,0.5,1.0,0.5
c06_s03_cov050_seed00000024_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000024_bw025,6,3,0.5,0.25,1000,1,531,469,0.469,1.0,0.531
c06_s03_cov050_seed00000024_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,200,1,128,72,0.36,1.0,0.64
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,200,2,74,126,0.63,0.0,0.0
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,1000,1,664,336,0.336,1.0,0.664
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,1000,2,322,678,0.678,0.0,0.0
c06_s03_cov050_seed00000025_bw025,6,3,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s03_cov050_seed00000028_bw025,6,3,0.5,0.25,200,1,95,105,0.525,1.0,0.475
c06_s03_cov050_seed00000028_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000028_bw025,6,3,0.5,0.25,1000,1,464,536,0.536,1.0,0.464
c06_s03_cov050_seed00000028_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000029_bw025,6,3,0.5,0.25,200,1,87,113,0.565,1.0,0.435
c06_s03_cov050_seed00000029_bw025,6,3,0.5,0.25,200,2,200,0,0.0,0.0,0.0
c06_s03_cov050_seed00000029_bw025,6,3,0.5,0.25,1000,1,497,503,0.503,1.0,0.497
c06_s03_cov050_seed00000029_bw025,6,3,0.5,0.25,1000,2,1000,0,0.0,0.0,0.0
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,200,1,136,64,0.32,1.0,0.68
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,200,2,68,132,0.66,0.0,0.0
c06_s03_cov050_seed00000031_bw025,6,3,0.5,0.25,200,3,0,200,1.0,,0.0
