origin,base_id,network,treatment,outcome,menu_index,source,members,size
synthetic,c10_s09_cov100_seed1923618803,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;C06;C07;C08;W,10
synthetic,c10_s09_cov100_seed1923618803,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s09_cov100_seed1923618803,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s09_cov100_seed1923618803,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s09_cov100_seed1923618803,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c10_s09_cov100_seed1923618803,,X,Y,7,O_true,C00;W,2
synthetic,c10_s09_cov100_seed1923618803,,X,Y,8,pa_true,C08,1
synthetic,c10_s09_cov100_seed1923618803,,X,Y,9,O_minus_v0,W,1
synthetic,c10_s09_cov100_seed1648170629,,X,Y,0,empty,,0
synthetic,c10_s09_cov100_seed1648170629,,X,Y,1,O_minus_v1,C00,1
synthetic,c10_s09_cov100_seed1648170629,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;C06;C07;C08;W,10
synthetic,c10_s09_cov100_seed1648170629,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c10_s09_cov100_seed1648170629,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c10_s09_cov100_seed1648170629,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c10_s09_cov100_seed1648170629,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c10_s09_cov100_seed1648170629,,X,Y,7,O_true,C00;W,2
synthetic,c10_s09_cov100_seed1648170629,,X,Y,8,pa_true,C08,1
synthetic,c10_s09_cov100_seed1648170629,,X,Y,9,O_minus_v0,W,1
real_network,real__mediator__I__Y,mediator,I,Y,0,O_minus_v0;empty,,0
real_network,real__mediator__I__Y,mediator,I,Y,1,O_true,X,1
real_network,real__mediator__I__Y,mediator,I,Y,2,O_plus_v0;an_minus_de;pa_true,X;Z,2
real_network,real__mediator__X__I,mediator,X,I,0,O_minus_v0;empty,,0
real_network,real__mediator__X__I,mediator,X,I,1,O_true;an_minus_de;pa_true,Z,1
real_network,real__mediator__X__Y,mediator,X,Y,0,O_minus_v0;empty,,0
real_network,real__mediator__X__Y,mediator,X,Y,1,O_true;an_minus_de;pa_true,Z,1
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,0,O_minus_v0;empty,,0
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,1,O_plus_v0,Jnk;PKA,2
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,2,O_plus_v1,P38;PKA,2
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,3,O_plus_v2,PIP2;PKA,2
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,4,O_plus_v3,PIP3;PKA,2
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,5,O_true,PKA,1
real_network,real__sachs__Mek__Akt,sachs,Mek,Akt,6,an_minus_de;pa_true,PKA;PKC;Raf,3
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,0,O_minus_v0;empty,,0
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,1,O_plus_v0,Jnk;PKA,2
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,2,O_plus_v1,P38;PKA,2
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,3,O_plus_v2,PIP2;PKA,2
real_network,real__sachs__Mek__Erk,sachs,Mek,Erk,4,O_plus_v3,PIP3;PKA,2
