stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,scope_note
tiered_nt2,tiered,radius,k_g0,AUC_rate_usable,ok,543,60,483,11,0.5802354721554341,-0.0920691287714497,0.6723046009268838,-0.36111813383216007,1.2537105993747095,0.9052044609665427,10000,9684,316,0,0.06560006114727351,1.0544798653896927,paths,hailfinder,11,False,
tiered_nt2,tiered,radius,separation,AUC_rate_usable,ok,543,49,494,8,0.6312921198686302,0.607158776151615,0.024133343717015254,-0.43594831367657483,0.47566578413674804,0.688131707825362,10000,9597,403,0,-0.09824864223776264,0.17806715843743193,magic-irri,magic-niab,8,True,
tiered_nt2,tiered,radius,phi_1,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt2,tiered,radius,r_claim,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt3,tiered,radius,shd_truth,AUC_rate_usable,ok,543,176,367,18,0.377616815579245,0.3084463242703133,0.06917049130893166,-0.2901950407571477,0.6106645339464694,0.6643,10000,10000,0,0,-0.050054805686177456,0.22901880852425757,paths,insurance,18,True,
tiered_nt3,tiered,radius,n_k,AUC_rate_usable,ok,543,176,367,18,0.377616815579245,-0.06616299897014669,0.44377981454939164,-0.18229315580828218,1.1239865639760815,0.905,10000,10000,0,0,0.1184239983205463,0.6068459194871494,paths,barley,18,False,
tiered_nt3,tiered,radius,k_g0,AUC_rate_usable,ok,543,176,367,18,0.377616815579245,0.2272441934788057,0.15037262210043928,-0.19875929152877206,0.5657147549729528,0.8086,10000,10000,0,0,0.015616980922767976,0.27728347084854454,magic-niab,Polzer_2012,18,False,
tiered_nt3,tiered,radius,separation,AUC_rate_usable,ok,543,113,430,14,0.49271593156968485,0.5849837075597851,-0.09226777599010028,-0.48267124113954324,0.2795149296503338,0.3640728145629126,10000,9998,2,0,-0.3036764784761554,0.04712474419892698,paths,Polzer_2012,14,True,
tiered_nt3,tiered,radius,phi_1,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt3,tiered,radius,r_claim,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt4,tiered,radius,shd_truth,AUC_rate_usable,ok,543,265,278,19,0.4832453597995131,0.25461900817620065,0.22862635162331246,-0.14841818733860396,0.7367841782630873,0.8937,10000,10000,0,0,0.09017748390472374,0.4601502556493602,hailfinder,insurance,19,False,
tiered_nt4,tiered,radius,n_k,AUC_rate_usable,ok,543,265,278,19,0.4832453597995131,0.12362268575786922,0.3596226740416439,-0.0827107850746981,0.9902958359719701,0.9374,10000,10000,0,0,0.12099027571906601,0.6051150675240949,paths,insurance,19,False,
tiered_nt4,tiered,radius,k_g0,AUC_rate_usable,ok,543,265,278,19,0.4832453597995131,0.2714203669564115,0.21182499284310163,-0.07131815573155333,0.6165782418294441,0.9289,10000,10000,0,0,0.154498275669041,0.3876680694484031,magic-niab,insurance,19,False,
tiered_nt4,tiered,radius,separation,AUC_rate_usable,ok,543,165,378,15,0.5128856050244759,0.5463364771913091,-0.03345087216683318,-0.3697062127635067,0.30427609095338354,0.4918,10000,10000,0,0,-0.17489777122900868,0.11882827926675305,paths,Polzer_2012,15,True,
tiered_nt4,tiered,radius,phi_1,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
tiered_nt4,tiered,radius,r_claim,AUC_rate_usable,insufficient_n,543,0,543,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
