stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov050_bwa1,flip,n_k,AUC_frac,ok,310,15,546,0,236,-0.041684836942965126,0.3595549067920595,-0.5053830800003336,0.5902140673189473,0,-0.19890536281950946,0.2174863590738346,water,insurance,True
flip_cov050_bwa1,flip,n_k,AUC_frac_usable,ok,310,15,546,0,236,-0.041684836942965126,0.3595549067920595,-0.5053830800003336,0.5902140673189473,0,-0.19890536281950946,0.2174863590738346,water,insurance,True
flip_cov050_bwa1,flip,k_g0,AUC_frac,ok,310,15,546,0,236,0.31091573651644755,2.5678011853419564e-13,-0.11745884132053645,0.7864505002478,0,0.12638676635030915,0.5146756098498174,insurance,barley,False
flip_cov050_bwa1,flip,k_g0,AUC_frac_usable,ok,310,15,546,0,236,0.31091573651644755,2.5678011853419564e-13,-0.11745884132053645,0.7864505002478,0,0.12638676635030915,0.5146756098498174,insurance,barley,False
flip_cov050_bwa1,flip,separation,AUC_frac,ok,112,9,546,0,434,0.49824672200476083,1.2918939037292886e-09,-0.1650052895032399,0.8154568250813943,9,0.11435776883816326,0.6473097214482516,insurance,Kampen_2014,False
flip_cov050_bwa1,flip,separation,AUC_frac_usable,ok,112,9,546,0,434,0.49824672200476083,1.2918939037292886e-09,-0.1650052895032399,0.8154568250813943,9,0.11435776883816326,0.6473097214482516,insurance,Kampen_2014,False
flip_cov050_bwa1,flip,phi_1,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bwa1,flip,phi_1,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bwa1,flip,r_claim,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bwa1,flip,r_claim,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov100_bw000,flip,radius,AUC_frac,ok,540,24,543,0,3,0.07105886884577793,0.038321733931990745,-0.343180147734947,0.3891916944358638,0,-0.14811328125470058,0.18140868570743232,insurance,paths,True
flip_cov100_bw000,flip,radius,AUC_frac_usable,ok,540,24,543,0,3,0.06377025915559671,0.06303697174464695,-0.3510860280511082,0.38100731842192176,0,-0.15627206369669683,0.1732311721251912,insurance,paths,True
flip_cov100_bw000,flip,shd_truth,AUC_frac,undefined (predictor constant),540,24,543,0,3,,,,,,,,,,
flip_cov100_bw000,flip,shd_truth,AUC_frac_usable,undefined (predictor constant),540,24,543,0,3,,,,,,,,,,
flip_cov100_bw000,flip,n_k,AUC_frac,ok,540,24,543,0,3,0.2907917244962348,1.0181095792337904e-20,0.09415104776562386,0.5512579003228644,0,0.23446349284929272,0.3825026077089252,paths,insurance,False
flip_cov100_bw000,flip,n_k,AUC_frac_usable,ok,540,24,543,0,3,0.30320729637188243,2.18769679069612e-22,0.11402703172343014,0.5645106030160904,0,0.24787305911279023,0.39366605800456855,paths,insurance,False
flip_cov100_bw000,flip,k_g0,AUC_frac,ok,540,24,543,0,3,0.1380760485351907,8.554278293921892e-06,-0.1592643789633389,0.3611103311640334,0,0.043266341751423076,0.23192666491732686,diabetes,barley,False
flip_cov100_bw000,flip,k_g0,AUC_frac_usable,ok,540,24,543,0,3,0.1504437625916282,1.2378029947703408e-06,-0.1437416887884953,0.3745876132776352,0,0.061342546539057005,0.24874297314114893,diabetes,barley,False
flip_cov100_bw000,flip,separation,AUC_frac,ok,306,20,543,0,237,0.07389780629998023,0.11666610799125986,-0.3554371398338613,0.39545720203191453,0,-0.08999177508570817,0.23013885307092477,insurance,paths,True
flip_cov100_bw000,flip,separation,AUC_frac_usable,ok,306,20,543,0,237,0.06359824030861916,0.1769350786943631,-0.3691557598953551,0.389302201916364,0,-0.11206650697279688,0.2177543588317169,insurance,paths,True
