n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,search_fast_top_s,search_fast_top_censored,search_fast_top_error,search_fast_top_method,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,speedup_space_vs_search_top,speedup_search_top_vs_hybrid,gate_exhausted,gate_error
16,0.5,4,0,4,V00,V02,2,1,1,2,0.0003694580009323545,0.00016358399989258032,0.0003302080003777519,False,False,0.0006996660013101064,0.0005330420008249348,0.0006496249989140779,False,False,0.00036695900053018704,False,False,0.0001641670023673214,False,False,top_state,0.00013837499864166602,False,False,top_state,True,1.9066598728992068,,2.65191692236586,,5.056303582137346,,0.8205380053353476,4.694670318272868,3.8521554186626803,4.261916165982085,1.1863920793411966,False,
16,0.5,5,0,5,V00,V05,6,3,3,3,0.005424542001492227,0.0031352500009234063,0.002072666000458412,False,False,0.007497208001950639,0.008559792002415634,0.007424957999319304,False,False,0.0019724159938050434,False,False,0.00018312499742023647,False,False,top_state,0.00016324999887729064,False,False,top_state,True,3.801027788001031,,12.082180749585426,,45.92470476882533,,1.1528404609427243,45.482132008468724,52.43364202930092,40.94038557033257,1.121745780579669,False,
16,0.5,6,0,6,V00,V01,7,3,3,4,0.00401120899914531,0.0014497499996650731,0.0008318749987665797,False,False,0.00484308399791189,0.0054609589988103835,0.005518042002222501,False,False,0.0013263750006444752,False,False,0.00016095900355139747,False,False,top_state,0.00013608399603981525,False,False,top_state,True,3.6513685764272346,,9.746737597684936,,35.58893138686865,,0.9896552067945249,40.54879458866009,40.12932569390911,30.08892880208093,1.182791571643034,False,
16,0.5,7,0,7,V00,V02,5,8,8,6,2.978652707999572,0.08390445800068846,0.02416520899896568,False,False,3.002817916998538,3.0625571660002606,0.40718775000277674,False,False,0.026735375002317596,False,False,0.0001794580020941794,False,False,top_state,0.00015337500371970236,False,False,top_state,True,112.31628195745277,,174.31376921872703,,19578.2744526369,,7.521240916455311,2654.8507913774865,19967.772399192112,16732.705602186867,1.170060294975735,False,
16,0.7,0,0,0,V00,V01,5,3,3,3,0.0070805409995955415,0.003479958999378141,0.0018422500015731202,False,False,0.008922791001168662,0.010560499998973683,0.007948791004309896,False,False,0.0016879999966477044,False,False,0.00019216700457036495,False,False,top_state,0.00016620800306554884,False,False,top_state,True,5.286013636782549,,10.155948964635558,,53.68448472153116,,1.328566821450922,47.82435777881926,63.53785500213759,46.43248210647652,1.1561838240399198,False,
16,0.7,1,0,1,V00,V03,9,1,1,2,0.0005810000002384186,0.0005269160010357155,0.0003309580006316537,False,False,0.0009119580008700723,0.001107916001274134,0.00118908299918985,False,False,0.0003419580025365576,False,False,0.0001235410018125549,False,False,top_state,0.00011116600217064843,False,False,top_state,True,2.666871352930475,,3.0761023681649142,,8.203569284340604,,0.9317398382021971,10.696462731155119,9.966320454462302,7.381824556140148,1.1113200025211836,False,
16,0.7,2,0,2,V00,V01,6,14,14,7,,,,True,False,,,0.002864959002181422,False,False,0.0014202079983078875,False,False,0.003061041992623359,False,False,local_up_fast_exact,0.002569832999142818,False,False,local_up_fast,True,,84496.56876596791,0.5526460274973531,,,46696.6930656691,,1.1148424832030115,,,1.1911443248041356,False,
16,0.7,3,0,3,V00,V03,8,4,4,4,0.026419959000122617,0.008641374999569962,0.002711541999815381,False,False,0.029131500999937998,0.03506133399969258,0.03205304199946113,False,False,0.004453790999832563,False,False,0.0001777500001480803,False,False,top_state,0.00014229200314730406,False,False,top_state,True,6.54083251796799,,31.300360535524213,,204.73041601487876,,1.09385355687245,225.26242719542756,246.40410721743973,163.890300847646,1.2491917761820337,False,
16,0.7,4,0,4,V00,V02,3,3,3,3,0.007481499998903018,0.0007949580012791557,0.0007870419995015254,False,False,0.008268541998404544,0.008276458000182174,0.0019130410000798292,False,False,0.0007573749971925281,False,False,0.0008612500023446046,False,False,local_up_fast_exact,0.0008481660042889416,False,False,local_up_fast,True,10.917368581026242,,0.8929560880331109,,9.748730739728787,,4.326335922668048,2.2555030387991364,9.758063820443649,9.600629289863413,1.0154262231561992,False,
16,0.7,5,0,5,V00,V05,8,3,3,3,0.007568667000668938,0.0051262500001030276,0.0030150410002534045,False,False,0.010583708000922343,0.012694917000771966,0.013855125005648006,False,False,0.0031204170009004883,False,False,0.0002739999981713481,False,False,top_state,0.0002362910017836839,False,False,top_state,True,3.39176078000732,,13.205822385725549,,44.79099043564661,,0.9162614552807655,58.63585536926999,53.725774172279806,38.62667179400394,1.1595871027800944,False,
