n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,gate_exhausted,gate_error
8,0.7,4,0,4,V0,V3,3,4,4,4,0.0069965000002412125,0.00010520899922994431,0.0002866670001822058,False,False,0.007283167000423418,0.007101708999471157,0.0003193339998688316,False,False,0.00017045899949152954,False,False,0.00017499999921710696,False,False,local_up_fast,True,42.726796602988,,0.9740514300234722,,41.6180973314625,,22.239125813061644,1.8247657216995885,40.58119446423938,False,
8,0.7,5,0,5,V2,V0,2,8,8,5,1.5842592919998424,9.733399929245934e-05,0.0005702909984393045,False,False,1.5848295829982817,1.5843566259991348,0.00041770799907681067,False,False,0.00027754199982155114,False,False,0.0002696249994187383,False,False,local_up_fast,True,5710.23334852839,,1.0293630057297374,,5877.902963059366,,3792.976503923244,1.549218358747564,5876.148834176041,False,
8,0.7,6,0,6,V0,V1,4,4,4,4,0.006962375000512111,0.001555124999867985,0.0007222920012281975,False,False,0.0076846670017403085,0.008517500000380096,0.0058688750013971,False,False,0.0021472499993251404,False,False,0.037228248998872004,False,False,e1_ladder,True,3.5788413105858767,,0.05767797457759028,,0.20642031812920209,,1.451300291512851,0.15764574373548765,0.22879131383907342,False,
8,0.7,7,0,7,V1,V3,5,4,4,4,0.007583124999655411,0.0020549580003716983,0.0008708750010555377,False,False,0.008454000000710948,0.009638083000027109,0.0055258749998756684,False,False,0.0009337499996036058,False,False,0.03205695900032879,False,False,e1_ladder,True,9.05381526564908,,0.029127840840861695,,0.2637180900603903,,1.7441731852863058,0.17237676848321742,0.3006549373547334,False,
8,0.85,0,0,0,V0,V1,3,2,2,3,0.0004881250006292248,0.0001972919999388978,0.00019216700093238614,False,False,0.000680292001561611,0.0006854170005681226,0.0005511670005944325,False,False,0.00021345800087146927,False,False,0.00020908300029987004,False,False,local_up_fast,True,3.187006337472631,,1.0209247072470002,,3.25369351207858,,1.2435740888494808,2.636115799964322,3.278205304042352,False,
8,0.85,1,0,1,V0,V1,1,13,13,6,,,,True,False,,,0.0006842080001661088,False,False,0.00048645800052327104,False,False,0.0004311660013627261,False,False,local_up_fast,True,,246688.4683013002,1.1282383095740185,,,278323.38046766276,,1.586878367041066,,False,
8,0.85,2,0,2,V2,V0,4,10,10,5,43.283566832998986,0.0003168340008414816,0.0017317920010100352,False,False,43.285298624999996,43.28388366699983,0.0006953749998501735,False,False,0.00037195799995970447,False,False,0.00036383299993758556,False,False,local_up_fast,True,116371.4683638724,,1.02233167421183,,118970.23808292666,,62245.3836797783,1.9112477426991585,118966.34905141933,False,
8,0.85,3,0,3,V1,V0,3,13,13,6,,,,True,False,,,0.0008457080002699513,False,False,0.0004927919999317965,False,False,0.0005119590005051577,False,False,local_up_fast,True,,243517.91242676257,0.9625614540335282,,,234400.95586871397,,1.6519057179099856,,False,
8,0.85,4,0,4,V0,V3,3,5,5,4,0.027119041998957982,9.92500008578645e-05,0.0004014170008304063,False,False,0.02752045899978839,0.027218291999815847,0.00046241600102803204,False,False,0.0002455829999234993,False,False,0.00023175000023911707,False,False,local_up_fast,True,112.0617429071279,,1.0596893189648737,,118.75063202327114,,58.86105138945192,1.9953225482240189,117.44678304954613,False,
8,0.85,5,0,5,V2,V0,2,8,8,5,1.6120017920002283,0.00010595800085866358,0.0005275830008031335,False,False,1.6125293750010314,1.612107750001087,0.0004300840009818785,False,False,0.0002790830003505107,False,False,0.00031216700153890997,False,False,local_up_fast,True,5777.956281736243,,0.8940182625796356,,5165.598436258927,,3748.355545243853,1.3777369128116215,5164.247797024588,False,
8,0.85,6,0,6,V0,V1,4,14,14,6,,,,True,False,,,0.0006701660004182486,False,False,0.0004473329991014907,False,False,0.00044045899994671345,False,False,local_up_fast,True,,268264.70118242304,1.0156064449939923,,,272451.3594852563,,1.5215173273774063,,False,
8,0.85,7,0,7,V1,V3,5,3,3,3,0.0023412919999827864,0.0010959579994960222,0.0005569579989241902,False,False,0.0028982499989069765,0.0034372499994788086,0.001982375000807224,False,False,0.0005129169985593762,False,False,0.0004985840005247155,False,False,local_up_fast,True,5.650524367582389,,1.028747408700593,,5.81296230094994,,1.733905037179726,3.9760100579259454,6.894023867315051,False,
