instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000018_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,1,138,62,0.31,0.7681159420289855,0.53
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,2,47,153,0.765,0.3617021276595745,0.085
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,3,27,173,0.865,0.0,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,4,16,184,0.92,0.0,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,1,672,328,0.328,0.7470238095238095,0.502
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,2,244,756,0.756,0.4672131147540984,0.114
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,3,104,896,0.896,0.0,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,4,77,923,0.923,0.0,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000019_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,1,79,121,0.605,1.0,0.395
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,2,26,174,0.87,1.0,0.13
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,3,15,185,0.925,0.8,0.06
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,4,16,184,0.92,0.5,0.04
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,5,6,194,0.97,0.0,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,200,7,0,200,1.0,,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,1,383,617,0.617,1.0,0.383
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,2,114,886,0.886,1.0,0.114
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,3,89,911,0.911,0.7303370786516854,0.065
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,4,106,894,0.894,0.5660377358490566,0.06
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,5,78,922,0.922,0.0,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s03_cov100_seed00000000_bw000,6,3,1.0,0.0,1000,7,0,1000,1.0,,0.0
c06_s03_cov100_seed00000001_bw000,6,3,1.0,0.0,200,1,67,133,0.665,1.0,0.335
c06_s03_cov100_seed00000001_bw000,6,3,1.0,0.0,200,2,37,163,0.815,1.0,0.185
